番号,中国語,ピンイン1,ピンイン2,日本語,level
256,外,wai,wài,外,2
257,完,wan,wán,完成する,2
258,玩,wan,wán,遊ぶ,2
259,晚上,wanshang,wǎnshàng,夜,2
260,为什么,weishenme,wèishéme,なぜ,2
261,问,wen,wèn,尋ねる,2
262,问题,wenti,wèntí,問題,2
263,西瓜,xigua,xīguā,スイカ,2
264,希望,xiwang,xīwàng,望む,2
265,洗,xi,xǐ,洗う,2
266,向,xiang,xiàng,へ,2
267,小时,xiaoshi,xiǎoshí,時間,2
268,笑,xiao,xiào,笑う,2
269,新,xin,xīn,新しい,2
270,姓,xing,xìng,姓、名字,2
271,休息,xiuxi,xiūxi,休憩,2
272,雪,xue,xuě,雪,2
273,颜色,yanse,yánsè,色,2
274,眼睛,yanjing,yǎnjīng,目,2
275,羊肉,yangrou,yángròu,羊肉,2
276,药,yao,yào,薬,2
277,要,yao,yào,要求する,2
278,也,ye,yě,さらに,2
279,已经,yijing,yǐjīng,もう既に,2
280,一起,yiqi,yìqǐ,一緒に,2
281,意思,yisi,yìsi,意味,2
282,阴,yin,yīn,陰,2
283,因为,yinwei,yīnwèi,なぜなら,2
284,游泳,youyong,yóuyǒng,泳ぐ,2
285,右边,youbian,yòubiān,右,2
286,鱼,yu,yú,魚,2
287,元,yuan,yuán,中国のお金の単位,2
288,远,yuan,yuǎn,遠い,2
289,运动,yundong,yùndòng,運動,2
290,再,zai,zài,再び,2
291,早上,zaoshang,zǎoshang,朝,2
292,张,zhang,zhāng,枚,2
293,丈夫,zhangfu,zhàngfū,夫,2
294,找,zhao,zhǎo,探す,2
295,着,zhe,zhe,着る,2
296,真,zhen,zhēn,本当に,2
297,正在,zhengzai,zhèngzài,まさに〜している,2
298,知道,zhidao,zhīdào,知っている,2
299,准备,zhunbei,zhǔnbèi,準備をする,2
300,自行车,zixingche,zìxíngchē,自転車,2
301,走,zou,zǒu,歩く,2
302,最,zui,zuì,最も,2
303,左边,zuobian,zuǒbiān,左,2
304,昨天,zuotian,zuótiān,昨日,2
305,做,zuo,zuò,する,2
306,坐,zuo,zuò,座る,2
